MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
Method|ShowCustomThemeEditor()|L1538,ShowCustomThemeEditor,ShowCustomThemeEditor(),1538,1560,23,ClearScrollViewerCache;RefreshCustomThemeMenuItems;UpdateThemeMenuSelection,"Method|ClearScrollViewerCache()|L13869;Method|RefreshCustomThemeMenuItems()|L1488;Method|UpdateThemeMenuSelection(ColorTheme,string?)|L1442",,,3,3,0,0
"Method|AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1562",AlwaysClearModlistsMenuItem_OnClick,"AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)",1562,1568,7,HandleModlistAutoLoadMenuClick,"Method|HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)|L1578",,,1,1,0,0
"Method|AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1570",AlwaysAddModlistsMenuItem_OnClick,"AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)",1570,1576,7,HandleModlistAutoLoadMenuClick,"Method|HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)|L1578",,,1,1,0,0
"Method|HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)|L1578",HandleModlistAutoLoadMenuClick,"HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)",1578,1585,8,SetModlistAutoLoadBehavior,Method|SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior)|L1587,,,1,1,0,0
Method|SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior)|L1587,SetModlistAutoLoadBehavior,SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior),1587,1591,5,UpdateModlistAutoLoadMenu,Method|UpdateModlistAutoLoadMenu(ModlistAutoLoadBehavior)|L1593,,,1,1,0,0
Method|UpdateModlistAutoLoadMenu(ModlistAutoLoadBehavior)|L1593,UpdateModlistAutoLoadMenu,UpdateModlistAutoLoadMenu(ModlistAutoLoadBehavior),1593,1600,8,,,,,0,0,0,0
Method|UpdateGameVersionMenuItem(string?)|L1602,UpdateGameVersionMenuItem,UpdateGameVersionMenuItem(string?),1602,1614,13,,,,,0,0,0,0
Method|ApplyStoredWindowDimensions()|L1616,ApplyStoredWindowDimensions,ApplyStoredWindowDimensions(),1616,1637,22,IsWindowPositionOnScreen,"Method|IsWindowPositionOnScreen(double,double)|L1639",,,1,1,0,0
"Method|IsWindowPositionOnScreen(double,double)|L1639",IsWindowPositionOnScreen,"IsWindowPositionOnScreen(double,double)",1639,1652,14,,,,,0,0,0,0
Method|SaveWindowDimensions()|L1654,SaveWindowDimensions,SaveWindowDimensions(),1654,1664,11,,,,,0,0,0,0
Method|SetUsernameDisplay(string?)|L1666,SetUsernameDisplay,SetUsernameDisplay(string?),1666,1671,6,,,,,0,0,0,0
