MemberId,Name,Signature,StartLine,EndLine,CallerIds,CallerSignatures,CallerCount
"Method|TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)|L3945",TryCalculateMatchScore,"TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)",3945,3976,"Method|FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)|L3868","FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)",1
"Method|CalculateBestDistance(string,string,int)|L3978",CalculateBestDistance,"CalculateBestDistance(string,string,int)",3978,3986,"Method|TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)|L3945","TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)",1
"Method|CalculateLevenshteinDistance(ReadOnlySpan<char>,ReadOnlySpan<char>,int)|L3988",CalculateLevenshteinDistance,"CalculateLevenshteinDistance(ReadOnlySpan<char>,ReadOnlySpan<char>,int)",3988,4025,"Method|CalculateBestDistance(string,string,int)|L3978","CalculateBestDistance(string,string,int)",1
"Method|BuildModSearchTokenSets(string?,string?)|L4027",BuildModSearchTokenSets,"BuildModSearchTokenSets(string?,string?)",4027,4062,"Method|FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)|L3868","FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)",1
"Method|AreTokenListsEqual(IReadOnlyList<string>,IReadOnlyList<string>)|L4064",AreTokenListsEqual,"AreTokenListsEqual(IReadOnlyList<string>,IReadOnlyList<string>)",4064,4073,"Method|BuildModSearchTokenSets(string?,string?)|L4027","BuildModSearchTokenSets(string?,string?)",1
"Method|BuildSearchTokens(string,bool)|L4075",BuildSearchTokens,"BuildSearchTokens(string,bool)",4075,4087,"Method|BuildModSearchTokenSets(string?,string?)|L4027;Method|FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)|L3868","BuildModSearchTokenSets(string?,string?);FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)",2
Method|ExtractWords(string)|L4089,ExtractWords,ExtractWords(string),4089,4136,"Method|BuildSearchTokens(string,bool)|L4075","BuildSearchTokens(string,bool)",1
Method|StopModsWatcher()|L4138,StopModsWatcher,StopModsWatcher(),4138,4146,Method|OnClosed(EventArgs)|L14279;Method|ReloadViewModelAsync()|L4358;Method|StartModsWatcher()|L3689,OnClosed(EventArgs);ReloadViewModelAsync();StartModsWatcher(),3
"Method|ModsWatcherTimerOnTick(object?,EventArgs)|L4148",ModsWatcherTimerOnTick,"ModsWatcherTimerOnTick(object?,EventArgs)",4148,4173,,,0
Method|RefreshModsAsync(bool)|L4175,RefreshModsAsync,RefreshModsAsync(bool),4175,4207,"Method|ApplyExclusivePresetAsync(ModPreset)|L13110;Method|DeleteMultipleModsAsync(IReadOnlyList<ModListItemViewModel>)|L5222;Method|DeleteSingleModAsync(ModListItemViewModel)|L5181;Method|InstallModButton_OnClick(object,RoutedEventArgs)|L5455;Method|InstallModFromBrowserAsync(DownloadableMod)|L2736;Method|ModsWatcherTimerOnTick(object?,EventArgs)|L4148;Method|RefreshModsAfterDependencyResolutionAsync()|L3359;Method|RestoreDataBackupAsync(DataFolderBackupSummary)|L8653;Method|ScheduleRefreshAfterModlistLoadIfReady()|L3385;Method|UpdateModsAsync(IReadOnlyList<ModListItemViewModel>,bool,IReadOnlyDictionary<ModListItemViewModel, ModReleaseInfo>?,bool,Func<ModListItemViewModel, ModReleaseInfo, IProgress<ModUpdateProgress>?>?,Action<ModListItemViewModel, ModReleaseInfo, ModUpdateResult>?)|L13891","ApplyExclusivePresetAsync(ModPreset);DeleteMultipleModsAsync(IReadOnlyList<ModListItemViewModel>);DeleteSingleModAsync(ModListItemViewModel);InstallModButton_OnClick(object,RoutedEventArgs);InstallModFromBrowserAsync(DownloadableMod);ModsWatcherTimerOnTick(object?,EventArgs);RefreshModsAfterDependencyResolutionAsync();RestoreDataBackupAsync(DataFolderBackupSummary);ScheduleRefreshAfterModlistLoadIfReady();UpdateModsAsync(IReadOnlyList<ModListItemViewModel>,bool,IReadOnlyDictionary<ModListItemViewModel, ModReleaseInfo>?,bool,Func<ModListItemViewModel, ModReleaseInfo, IProgress<ModUpdateProgress>?>?,Action<ModListItemViewModel, ModReleaseInfo, ModUpdateResult>?)",10
