MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,Modifiers,ReturnType,Parameters
Method|TryReadModConfigurations(IReadOnlyList<ModConfigOption>)|L10211,Method,TryReadModConfigurations,TryReadModConfigurations(IReadOnlyList<ModConfigOption>),10211,10259,49,private,"Dictionary<string, IReadOnlyList<ModConfigurationSnapshot>>?",IReadOnlyList<ModConfigOption> selectedConfigOptions
"Method|TryGetRelativeConfigPath(string,string)|L10261",Method,TryGetRelativeConfigPath,"TryGetRelativeConfigPath(string,string)",10261,10277,17,private,string?,"string path, string sanitizedFileName"
"Method|NormalizeRelativeConfigPath(string?,string)|L10279",Method,NormalizeRelativeConfigPath,"NormalizeRelativeConfigPath(string?,string)",10279,10296,18,private static,string?,"string? relativePath, string sanitizedFileName"
"Method|EnsureUniqueRelativePath(string,HashSet<string>)|L10298",Method,EnsureUniqueRelativePath,"EnsureUniqueRelativePath(string,HashSet<string>)",10298,10315,18,private static,string,"string relativePath, HashSet<string> usedRelativePaths"
Method|GetSupportedConfigFiles(string)|L10317,Method,GetSupportedConfigFiles,GetSupportedConfigFiles(string),10317,10323,7,private static,string[],string directory
Method|IsSupportedConfigExtension(string?)|L10325,Method,IsSupportedConfigExtension,IsSupportedConfigExtension(string?),10325,10334,10,private static,bool,string? extension
"Method|GetSafeConfigFileName(string?,string?)|L10336",Method,GetSafeConfigFileName,"GetSafeConfigFileName(string?,string?)",10336,10362,27,private static,string,"string? candidate, string? modId"
Method|ResolveConfigExtension(string?)|L10364,Method,ResolveConfigExtension,ResolveConfigExtension(string?),10364,10373,10,private static,string,string? candidate
Method|SanitizeForFileName(string?)|L10375,Method,SanitizeForFileName,SanitizeForFileName(string?),10375,10385,11,private static,string,string? value
"Method|SaveModlistToCloudMenuItem_OnClick(object,RoutedEventArgs)|L10387",Method,SaveModlistToCloudMenuItem_OnClick,"SaveModlistToCloudMenuItem_OnClick(object,RoutedEventArgs)",10387,10394,8,private async,void,"object sender, RoutedEventArgs e"
"Method|SaveCloudModlistButton_OnClick(object,RoutedEventArgs)|L10396",Method,SaveCloudModlistButton_OnClick,"SaveCloudModlistButton_OnClick(object,RoutedEventArgs)",10396,10400,5,private async,void,"object sender, RoutedEventArgs e"
"Method|ModifyCloudModlistsButton_OnClick(object,RoutedEventArgs)|L10402",Method,ModifyCloudModlistsButton_OnClick,"ModifyCloudModlistsButton_OnClick(object,RoutedEventArgs)",10402,10406,5,private async,void,"object sender, RoutedEventArgs e"
"Method|IsCloudUploaderNameAvailableAsync(FirebaseModlistStore,string)|L10408",Method,IsCloudUploaderNameAvailableAsync,"IsCloudUploaderNameAvailableAsync(FirebaseModlistStore,string)",10408,10429,22,private async,Task<bool>,"FirebaseModlistStore store, string uploader"
"Method|LocalModlistsDataGrid_OnSelectionChanged(object,SelectionChangedEventArgs)|L10431",Method,LocalModlistsDataGrid_OnSelectionChanged,"LocalModlistsDataGrid_OnSelectionChanged(object,SelectionChangedEventArgs)",10431,10444,14,private,void,"object sender, SelectionChangedEventArgs e"
