Source: C:\sc\games\Simple-Mod-Manager-Refactor\VintageStoryModManager\Views\MainWindow.xaml.cs
Class:  MainWindow
Lines:  80-14442
Members: 612

Type                 Name                                                            Start      End    Lines
Method               EndModlistInstallUi                                              8771     8779        9
Method               ClampPercent                                                     8781     8785        5
Method               UpdateModlistDownloadSpeed                                       8787     8798       12
Method               FormatDownloadSpeed                                              8800     8813       14
Method               CreateModlistInstallProgressReporter                             8815     8825       11
Method               CreateModUpdateProgressReporter                                  8827     8837       11
Method               OpenModFolderButton_OnClick                                      8839     8842        4
Method               OpenConfigFolderButton_OnClick                                   8844     8847        4
Method               OpenLogsFolderButton_OnClick                                     8849     8852        4
Method               OpenFolder                                                       8854     8887       34
Method               OpenFolderWithShell                                              8889     8908       20
Method               TryGetManagedModPath                                             8910     8948       39
Method               TryGetDependencyInstallTargetPath                                8950     8989       40
Method               TryGetInstallTargetPath                                          8991     9030       40
Method               TryGetUpdateTargetPath                                           9032     9077       46
Method               IsPathWithinManagedMods                                          9079     9086        8
Method               IsPathUnderDirectory                                             9088     9112       25
Method               IsSameDirectory                                                  9114     9129       16
Method               SanitizeFileName                                                 9131     9141       11
Method               EnsureUniqueFilePath                                             9143     9162       20
Method               TryEnsureManagedModTargetIsSafe                                  9164     9207       44
Method               TrySaveSnapshot                                                  9209     9288       80
Method               BuildSerializablePreset                                          9290     9353       64
Method               ResolveGameVersion                                               9355     9361        7
Method               BuildSerializableConfigList                                      9363     9411       49
Method               SavePresetMenuItem_OnClick                                       9417     9435       19
Method               TrySaveModlist                                                   9437     9440        4
Method               TrySaveModlist                                                   9442     9540       99
Method               TrySaveAutomaticModlist                                          9542     9580       39
Method               PromptModlistLoadMode                                            9582     9616       35
Method               GetModlistLoadOptions                                            9618     9623        6
Method               EnsureModlistBackupBeforeLoad                                    9625     9664       40
Method               TryBuildCurrentModlistJson                                       9666     9694       29
Method               CreateAutomaticBackupAsync                                       9696     9703        8
Method               CreateAppStartedBackupAsync                                      9705     9712        8
Method               CreateBackupAsync                                                9714     9789       76
Method               CaptureConfigurationsForBackup                                   9791     9845       55
Method               IsAppStartedBackup                                               9847     9854        8
Method               PruneAutomaticBackups                                            9856     9885       30
Method               PruneAppStartedBackups                                           9887     9916       30
Method               BuildCloudModlistName                                            9918     9921        4
Method               EnsureQuestPdfLicense                                            9923     9929        7
Method               GetLines                                                         9931     9937        7
Method               GenerateInstalledModsPdf                                         9939    10051      113
Method               GetUploaderNameForPdf                                           10053    10065       13
Method               DetermineUploaderName                                           10067    10072        6
Method               SaveModlistMenuItem_OnClick                                     10074    10083       10
Method               SaveModlistToCloudAsync                                         10085    10175       91
Method               NormalizeCloudVersion                                           10177    10180        4
Method               BuildModConfigOptions                                           10182    10209       28
Method               TryReadModConfigurations                                        10211    10259       49
Method               TryGetRelativeConfigPath                                        10261    10277       17
Method               NormalizeRelativeConfigPath                                     10279    10296       18
